Codigo;Nome;Icoef;Coeficientes
129; SIMPLICIO    ;3;0.00E+00
129; SIMPLICIO    ;4;0.00E+00
130; ILHA POMBOS  ;0;1.39E+02
130; ILHA POMBOS  ;1;0.00E+00
130; ILHA POMBOS  ;2;0.00E+00
130; ILHA POMBOS  ;3;0.00E+00
130; ILHA POMBOS  ;4;0.00E+00
131; NILO PECANHA ;0;3.98E+02
131; NILO PECANHA ;1;0.00E+00
131; NILO PECANHA ;2;0.00E+00
131; NILO PECANHA ;3;0.00E+00
131; NILO PECANHA ;4;0.00E+00
133; P. PASSOS    ;0;8.59E+01
133; P. PASSOS    ;1;0.00E+00
133; P. PASSOS    ;2;0.00E+00
133; P. PASSOS    ;3;0.00E+00
133; P. PASSOS    ;4;0.00E+00
134; SALTO GRANDE ;0;3.54E+02
134; SALTO GRANDE ;1;0.00E+00
134; SALTO GRANDE ;2;0.00E+00
134; SALTO GRANDE ;3;0.00E+00
134; SALTO GRANDE ;4;0.00E+00
135; P. ESTRELA   ;0;2.57E+02
135; P. ESTRELA   ;1;0.00E+00
135; P. ESTRELA   ;2;0.00E+00
135; P. ESTRELA   ;3;0.00E+00
135; P. ESTRELA   ;4;0.00E+00
139; CANDONGA     ;0;3.14E+02
139; CANDONGA     ;1;5.26E-01
139; CANDONGA     ;2;-3.54E-03
139; CANDONGA     ;3;2.32E-05
139; CANDONGA     ;4;0.00E+00
141; BAGUARI      ;0;1.80E+02
141; BAGUARI      ;1;1.73E-01
141; BAGUARI      ;2;-1.41E-03
141; BAGUARI      ;3;0.00E+00
141; BAGUARI      ;4;0.00E+00
143; AIMORES      ;0;7.99E+01
143; AIMORES      ;1;1.03E-01
143; AIMORES      ;2;-4.82E-04
143; AIMORES      ;3;1.54E-06
143; AIMORES      ;4;-1.94E-09
144; MASCARENHAS  ;0;6.07E+01
144; MASCARENHAS  ;1;0.00E+00
144; MASCARENHAS  ;2;0.00E+00
144; MASCARENHAS  ;3;0.00E+00
144; MASCARENHAS  ;4;0.00E+00
145; SUICA        ;0;3.47E+02
145; SUICA        ;1;-1.41E+01
145; SUICA        ;2;2.00E+02
145; SUICA        ;3;-5.54E+02
145; SUICA        ;4;5.12E+02
146; FONTES C     ;0;4.13E+02
146; FONTES C     ;1;0.00E+00
146; FONTES C     ;2;0.00E+00
146; FONTES C     ;3;0.00E+00
146; FONTES C     ;4;0.00E+00
147; FONTES AB    ;0;3.98E+02
147; FONTES AB    ;1;0.00E+00
147; FONTES AB    ;2;0.00E+00
147; FONTES AB    ;3;0.00E+00
147; FONTES AB    ;4;0.00E+00
148; IRAPE        ;0;4.15E+02
148; IRAPE        ;1;3.53E-02
148; IRAPE        ;2;-5.88E-06
148; IRAPE        ;3;5.82E-10
148; IRAPE        ;4;-2.34E-14
153; SAO DOMINGOS ;0;3.35E+02
153; SAO DOMINGOS ;1;6.94E-02
153; SAO DOMINGOS ;2;9.72E-05
153; SAO DOMINGOS ;3;-5.68E-07
153; SAO DOMINGOS ;4;0.00E+00
154; ITAPEBI      ;0;9.03E+01
154; ITAPEBI      ;1;4.01E-03
154; ITAPEBI      ;2;1.01E-05
154; ITAPEBI      ;3;-4.25E-09
154; ITAPEBI      ;4;6.72E-13
155; RETIRO BAIXO ;0;5.92E+02
155; RETIRO BAIXO ;1;1.64E-01
155; RETIRO BAIXO ;2;-2.61E-04
155; RETIRO BAIXO ;3;0.00E+00
155; RETIRO BAIXO ;4;0.00E+00
156; TRES MARIAS  ;0;5.30E+02
156; TRES MARIAS  ;1;6.08E-03
156; TRES MARIAS  ;2;-4.84E-07
156; TRES MARIAS  ;3;2.20E-11
156; TRES MARIAS  ;4;-3.85E-16
162; QUEIMADO     ;0;8.02E+02
162; QUEIMADO     ;1;1.14E-01
162; QUEIMADO     ;2;-1.98E-04
162; QUEIMADO     ;3;1.44E-07
162; QUEIMADO     ;4;-2.49E-17
169; SOBRADINHO   ;0;3.74E+02
169; SOBRADINHO   ;1;1.40E-03
169; SOBRADINHO   ;2;-5.35E-08
169; SOBRADINHO   ;3;1.16E-12
169; SOBRADINHO   ;4;-9.55E-18
172; ITAPARICA    ;0;2.76E+02
172; ITAPARICA    ;1;6.76E-03
172; ITAPARICA    ;2;-8.87E-07
172; ITAPARICA    ;3;7.07E-11
172; ITAPARICA    ;4;-2.24E-15
173; MOXOTO       ;0;2.51E+02
173; MOXOTO       ;1;0.00E+00
173; MOXOTO       ;2;0.00E+00
173; MOXOTO       ;3;0.00E+00
173; MOXOTO       ;4;0.00E+00
174; P.AFONSO 123 ;0;2.30E+02
174; P.AFONSO 123 ;1;0.00E+00
174; P.AFONSO 123 ;2;0.00E+00
174; P.AFONSO 123 ;3;0.00E+00
174; P.AFONSO 123 ;4;0.00E+00
175; P.AFONSO 4   ;0;2.51E+02
175; P.AFONSO 4   ;1;0.00E+00
175; P.AFONSO 4   ;2;0.00E+00
175; P.AFONSO 4   ;3;0.00E+00
175; P.AFONSO 4   ;4;0.00E+00
178; XINGO        ;0;8.04E+03
178; XINGO        ;1;-6.12E+00
178; XINGO        ;2;1.57E-03
178; XINGO        ;3;-1.34E-07
178; XINGO        ;4;0.00E+00
180; TOCOS        ;0;4.41E+02
180; TOCOS        ;1;1.26E+01
180; TOCOS        ;2;-8.48E+00
180; TOCOS        ;3;2.55E+00
180; TOCOS        ;4;-2.63E-01
181; SANTANA      ;0;3.56E+02
181; SANTANA      ;1;1.58E+00
181; SANTANA      ;2;-1.64E-01
181; SANTANA      ;3;8.86E-03
181; SANTANA      ;4;-1.83E-04
182; VIGARIO      ;0;3.88E+02
182; VIGARIO      ;1;8.88E-01
182; VIGARIO      ;2;-3.10E-02
182; VIGARIO      ;3;8.35E-04
182; VIGARIO      ;4;-9.59E-06
185; BARRA BRAUNA ;0;1.33E+02
185; BARRA BRAUNA ;1;6.87E-01
185; BARRA BRAUNA ;2;-5.34E-03
185; BARRA BRAUNA ;3;0.00E+00
185; BARRA BRAUNA ;4;0.00E+00
189; P. CAVALO    ;0;6.59E+01
189; P. CAVALO    ;1;3.00E-02
189; P. CAVALO    ;2;-7.56E-06
189; P. CAVALO    ;3;1.17E-09
189; P. CAVALO    ;4;-7.57E-14
190; B. ESPERANCA ;0;1.22E+02
190; B. ESPERANCA ;1;2.46E-02
190; B. ESPERANCA ;2;-7.45E-06
190; B. ESPERANCA ;3;1.18E-09
190; B. ESPERANCA ;4;-7.26E-14
192; GUILMAN-AMOR ;0;4.95E+02
192; GUILMAN-AMOR ;1;0.00E+00
192; GUILMAN-AMOR ;2;0.00E+00
192; GUILMAN-AMOR ;3;0.00E+00
192; GUILMAN-AMOR ;4;0.00E+00
193; SA CARVALHO  ;0;3.73E+02
193; SA CARVALHO  ;1;0.00E+00
193; SA CARVALHO  ;2;0.00E+00
193; SA CARVALHO  ;3;0.00E+00
193; SA CARVALHO  ;4;0.00E+00
195; JAURU        ;0;3.50E+02
195; JAURU        ;1;3.07E-01
195; JAURU        ;2;0.00E+00
195; JAURU        ;3;0.00E+00
195; JAURU        ;4;0.00E+00
196; GUAPORE      ;0;4.79E+02
196; GUAPORE      ;1;0.00E+00
196; GUAPORE      ;2;0.00E+00
196; GUAPORE      ;3;0.00E+00
196; GUAPORE      ;4;0.00E+00
203; CORUMBA III  ;0;7.50E+02
203; CORUMBA III  ;1;2.03E-02
203; CORUMBA III  ;2;4.57E-05
203; CORUMBA III  ;3;-7.84E-08
203; CORUMBA III  ;4;3.52E-11
204; CACH.CALDEIR ;0;4.74E+01
